product_name @ features @ price @ link@ itemcode @ description 
Alcatel U5 Sharp Blue Dual Sim Κινητό Smartphone@"Έκδοση Λειτουργικού: Android OS - 7.1 Nougat    -   Επεξεργαστής: Quad Core 1.3GHz    -   Μνήμη (Ram): 1 GB    -   Μέγεθος Οθόνης: 50""    -   Βασική Κάμερα: 8 Mp"@49.00 € από 69.00 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/178345-alcatel-u5-sharp-blue-dual-sim@178345@Smartphone Alcatel U5 με οθόνη 5 ιντσών τετραπύρηνο επεξεργαστή μπροστινή κάμερα 5MP πίσω κάμερα 8MP 1GB μνήμη 8GB χωρητικότητα και λειτουργικό σύστημα Android 7.1 Nougat.
Alcatel U5 Cocoa Gray Dual Sim Κινητό Smartphone@"Έκδοση Λειτουργικού: Android OS - 7.1 Nougat    -   Επεξεργαστής: Quad Core 1.3GHz    -   Μνήμη (Ram): 1 GB    -   Μέγεθος Οθόνης: 50""    -   Βασική Κάμερα: 8 Mp"@49.00 € από 69.00 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/178344-alcatel-u5-cocoa-gray-dual-sim@178344@Smartphone Alcatel U5 με οθόνη 5 ιντσών τετραπύρηνο επεξεργαστή μπροστινή κάμερα 5MP πίσω κάμερα 8MP 1GB μνήμη 8GB χωρητικότητα και λειτουργικό σύστημα Android 7.1 Nougat.
Alcatel U3 Black Dual Sim Κινητό Smartphone@"Έκδοση Λειτουργικού: AndroidTM 6.0 Marshmallow    -   Επεξεργαστής: Quad Core 1.3GHz    -   Μνήμη (Ram): 512 MB    -   Μέγεθος Οθόνης: 40""    -   Βασική Κάμερα: 3 Mp"@49.90 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/192719-alcatel-u3-black-dual-sim@192719@Το Alcatel U3 ανταποκρίνεται άμεσα είτε πρόκειται για γρήγορη επεξεργασία φωτογραφιών είτε για εργασίες που απαιτούν επεξεργασία υψηλής ταχύτητας.
Alcatel U3 Gold Dual Sim Κινητό Smartphone@"Έκδοση Λειτουργικού: AndroidTM 6.0 Marshmallow    -   Επεξεργαστής: Quad Core 1.3GHz    -   Μνήμη (Ram): 512 MB    -   Μέγεθος Οθόνης: 40""    -   Βασική Κάμερα: 3 Mp"@49.90 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/192720-alcatel-u3-gold-dual-sim@192720@Το Alcatel U3 ανταποκρίνεται άμεσα είτε πρόκειται για γρήγορη επεξεργασία φωτογραφιών είτε για εργασίες που απαιτούν επεξεργασία υψηλής ταχύτητας.
Tp-Link Neffos C5A Grey Dual Sim Κινητό Smartphone@"Έκδοση Λειτουργικού: Android 7.0 (Nougat)    -   Επεξεργαστής: Quad Core 1.3GHz    -   Μνήμη (Ram): 1 GB    -   Μέγεθος Οθόνης: 50""    -   Βασική Κάμερα: 5 Mp"@64.90 € από 69.90 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/183140-tp-link-neffos-c5a-grey-dual-sim@183140@"Το Neffos C5A είναι τo νέο οικονομικό smartphone της ΤP-Link με οθόνη 5"" και ισχυρή μπαταρία για μεγάλη διάρκεια ζωής. Με τη μεγάλη οθόνη LCD 5 ιντσών με ολοζώντανα χρώματα την κάμερα 5 megapixel και τη μπαταρία 2.300mAh που προσφέρει μεγάλη αυτονομία έχεις όλα όσα χρειάζεσαι."
Alcatel U5 HD Premium Dual Sim White-Gold Κινητό Smartphone@"Έκδοση Λειτουργικού: Android OS 7.1 Nougat    -   Επεξεργαστής: Quad Core 1.25GHz    -   Μνήμη (Ram): 2 GB    -   Μέγεθος Οθόνης: 50""    -   Βασική Κάμερα: 13 Mp"@69.00 € από 89.00 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/181737-alcatel-u5-hd-premium-dual-sim-white/gold@181737@"Δες τη ζωή σε HD με το Alcatel U5 HD. Ζήσε μια εξαιρετική εμπειρία χάρη στη φωτεινή και πεντακάθαρη οθόνη HD καθώς και στην απίθανη κάμερα που σου επιτρέπει να βγάζεις άψογες φωτογραφίες και βίντεο κάθε στιγμή. Το διπλό φινίρισμα με ματ και γυαλιστερή όψη προσφέρει δροσερή εμφάνιση και εύκολο κράτημα. Χάρη στο Android N και στην 5"" HD οθόνη το Alcatel U5 HD είναι η καλύτερη επιλογή για να γνωρίσεις τον κόσμο του HD και να απολαύσεις μια πιο ολοκληρωμένη εμπειρία από το smartphone σου."
Alcatel U5 HD Premium Dual Sim Black Κινητό Smartphone@"Έκδοση Λειτουργικού: Android OS 7.1 Nougat    -   Επεξεργαστής: Quad Core 1.25GHz    -   Μνήμη (Ram): 2 GB    -   Μέγεθος Οθόνης: 50""    -   Βασική Κάμερα: 13 Mp"@69.00 € από 89.00 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/181736-alcatel-u5-hd-premium-dual-sim-black@181736@"Δες τη ζωή σε HD με το Alcatel U5 HD. Ζήσε μια εξαιρετική εμπειρία χάρη στη φωτεινή και πεντακάθαρη οθόνη HD καθώς και στην απίθανη κάμερα που σου επιτρέπει να βγάζεις άψογες φωτογραφίες και βίντεο κάθε στιγμή. Το διπλό φινίρισμα με ματ και γυαλιστερή όψη προσφέρει δροσερή εμφάνιση και εύκολο κράτημα. Χάρη στο Android N και στην 5"" HD οθόνη το Alcatel U5 HD είναι η καλύτερη επιλογή για να γνωρίσεις τον κόσμο του HD και να απολαύσεις μια πιο ολοκληρωμένη εμπειρία από το smartphone σου."
MLS Easy TS 2018 4G Champagne Dual Sim Κινητό Smartphone@"Έκδοση Λειτουργικού: Android 6.0 (Marshmallow)    -   Επεξεργαστής: Quad Core 1.3GHz    -   Μνήμη (Ram): 1 GB    -   Μέγεθος Οθόνης: 28""    -   Βασική Κάμερα: 8 Mp"@79.00 € από 99.90 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/184899-mls-easy-ts-2018-4g-champagne-dual-sim@184899@Το MLS Easy TS 2018 4G βρίσκεται εδώ για να κάνει τη ζωή σου πιο εύκολη. Με κατευθυντήριες γραμμές σχεδιασμού γίνεται πιο λειτουργικό από ποτέ!
MLS Easy TS 2018 4G Black Dual Sim Κινητό Smartphone@"Έκδοση Λειτουργικού: Android 6.0 (Marshmallow)    -   Επεξεργαστής: Quad Core 1.3GHz    -   Μνήμη (Ram): 1 GB    -   Μέγεθος Οθόνης: 28""    -   Βασική Κάμερα: 8 Mp"@79.00 € από 99.90 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/188142-mls-easy-ts-2018-4g-black-dual-sim@188142@Το MLS Easy TS 2018 4G βρίσκεται εδώ για να κάνει τη ζωή σου πιο εύκολη. Με κατευθυντήριες γραμμές σχεδιασμού γίνεται πιο λειτουργικό από ποτέ!
MLS iQTalk Verse 4G Pink Κινητό Smartphone@"Έκδοση Λειτουργικού: Android 5.1 (Lollipop)    -   Επεξεργαστής: Quad Core 1.0 GHz    -   Μνήμη (Ram): 1 GB    -   Μέγεθος Οθόνης: 40""    -   Βασική Κάμερα: 8 Mp"@79.90 € @https://www.kotsovolos.gr/site/mobile-phones-gps/mobile-phones/smartphones/174476-mls-iqtalk-verse-4g-pink@174476@"To MLS iQTalk Verse 4G είναι ένα smartphone εφοδιασμένο με κομψότητα στο design 4G ταχύτητες και 4.0"" οθόνη. Διαθέτει οπίσθια κάμερα 8MP και εμπρόσθια 1MP για selfies τετραπύρηνο επεξεργαστή 1.0GHz για multitasking και λογισμικό Android 5.1 Lollipop."
