product_name @ features @ price @ link
CANON Inkjet πολυμηχάνημα με Fax - PIXMA MX495 @ Τύπος συσκευής: Πολυμηχάνημα Inkjet - Ανάλυση (ποιότητα εκτύπωσης): 4800 x 1200 dpi - Ανάλυση σάρωσης: 600 x 1200dpi - Μονάδα διπλής όψης (για εκτύπωση διπλής όψης): Όχι - WLAN: Ναι - Bluetooth: Όχι - Λειτουργία fax: Ναι @ 49, @ https://www.mediamarkt.gr/el/product/_canon-inkjet-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-%CE%BC%CE%B5-fax-pixma-mx495-1161059.html
EPSON Inkjet πολυμηχάνημα με Fax - WorkForce WF-2750DWF @ Τύπος συσκευής: Πολυμηχάνημα Inkjet - Ανάλυση (ποιότητα εκτύπωσης): 4800 x 1200 dpi - Ανάλυση σάρωσης: 1200 x 2400dpi - Μονάδα διπλής όψης (για εκτύπωση διπλής όψης): Ναι - WLAN: Ναι - Bluetooth: Όχι - Λειτουργία fax: Ναι @ 99, @ https://www.mediamarkt.gr/el/product/_epson-inkjet-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-%CE%BC%CE%B5-fax-workforce-wf-2750dwf-1188867.html
CANON Inkjet πολυμηχάνημα - MAXIFY MB2150 @ Τύπος συσκευής: Πολυμηχάνημα Inkjet - Ανάλυση (ποιότητα εκτύπωσης): 600 x 1.200dpi - Ανάλυση σάρωσης: 1200 x 1200dpi - Μονάδα διπλής όψης (για εκτύπωση διπλής όψης): Ναι - WLAN: Όχι - Bluetooth: Όχι - Λειτουργία fax: Ναι @ 119, @ https://www.mediamarkt.gr/el/product/_canon-inkjet-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-maxify-mb2150-1215539.html
HP Πολυμηχάνημα Ink Tank Wireless 415 @ Τύπος συσκευής: Πολυμηχάνημα Ink Tank - Ανάλυση (ποιότητα εκτύπωσης): 4800 x 1200 dpi (Έγχρωμη ανάλυση)1200 x 1200 dpi (Ασπρόμαυρη ανάλυση) - Λειτουργία fax: Όχι - Έγχρωμη εκτύπωση: Ναι - Print speed b/w / color: 8 ppm / 5 ppm - Μεγ. ταχύτητα α/μ εκτύπωσης (ISO): 8 ppm - Μεγ. ταχύτητα έγχρωμης εκτύπωσης (ISO): 5 ppm @ 149, @ https://www.mediamarkt.gr/el/product/_hp-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-ink-tank-wireless-415-1212562.html
EPSON Inkjet πολυμηχάνημα - Ink Tank System L382 @ Τύπος συσκευής: Πολυμηχάνημα Inkjet - Ανάλυση (ποιότητα εκτύπωσης): 5760 x 1440 dpi - Ανάλυση σάρωσης: 300dpi - Τεχνολογία εκτύπωσης: Epson Micro Piezo™ print head - Έγχρωμη εκτύπωση: Ναι - Print speed b/w / color: 10 ppm / 5 ppm - Μεγ. ταχύτητα α/μ εκτύπωσης (Βέλτιστη): 33 ppm @ 159, @ https://www.mediamarkt.gr/el/product/_epson-inkjet-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-ink-tank-system-l382-1212715.html
HP Inkjet πολυμηχάνημα - DeskJet Ink Advantage 5075 All-In-One Printer @ Τύπος συσκευής: Πολυμηχάνημα Inkjet - Ανάλυση (ποιότητα εκτύπωσης): 4800 x 1200 dpi - Ανάλυση σάρωσης: 1200 x 1200 dpi - Μονάδα διπλής όψης (για εκτύπωση διπλής όψης): Ναι - WLAN: Ναι - Λειτουργία fax: Όχι - Τεχνολογία εκτύπωσης: Inkjet @ 79, @ https://www.mediamarkt.gr/el/product/_hp-inkjet-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-deskjet-ink-advantage-5075-all-in-one-printer-1207971.html
CANON Inkjet πολυμηχάνημα - PIXMA TS3150 @ Τύπος συσκευής: Πολυμηχάνημα Inkjet - Ανάλυση (ποιότητα εκτύπωσης): 4800 x 1200 dpi - Ανάλυση σάρωσης: 600 x 1200 dpi - Μονάδα διπλής όψης (για εκτύπωση διπλής όψης): Όχι - WLAN: Ναι - Bluetooth: Όχι - Λειτουργία fax: Όχι @ 59, @ https://www.mediamarkt.gr/el/product/_canon-inkjet-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-pixma-ts3150-1210179.html
CANON Inkjet πολυμηχάνημα - PIXMA MG3650 @ Τύπος συσκευής: Πολυμηχάνημα Inkjet - Ανάλυση (ποιότητα εκτύπωσης): 4800 x 1200 dpi - Ανάλυση σάρωσης: 1200 x 2400dpi - Μονάδα διπλής όψης (για εκτύπωση διπλής όψης): Ναι - WLAN: Ναι - Bluetooth: Όχι - Λειτουργία fax: Όχι @ 59, @ https://www.mediamarkt.gr/el/product/_canon-inkjet-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-pixma-mg3650-1209348.html
HP Inkjet πολυμηχάνημα - DeskJet 2130 All-in-One Printer @ Τύπος συσκευής: Πολυμηχάνημα Inkjet - Ανάλυση (ποιότητα εκτύπωσης): 4800 x 1200 dpi - Ανάλυση σάρωσης: 1200 x 1200 dpi - Μονάδα διπλής όψης (για εκτύπωση διπλής όψης): Όχι - WLAN: Όχι - Λειτουργία fax: Όχι - Τεχνολογία εκτύπωσης: Inkjet @ 39, @ https://www.mediamarkt.gr/el/product/_hp-inkjet-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-deskjet-2130-all-in-one-printer-1205488.html
SAMSUNG Laser Mono πολυμηχάνημα SL-M2070 @ Τύπος συσκευής: Πολυμηχάνημα Laser - Ανάλυση (ποιότητα εκτύπωσης): 1200 x 1200 dpi - Ανάλυση σάρωσης: 4800 x 4800 dpi - WLAN: Όχι - Μονάδα διπλής όψης (για εκτύπωση διπλής όψης): Όχι - Λειτουργία fax: Όχι - Τεχνολογία εκτύπωσης: Laser @ 99, @ https://www.mediamarkt.gr/el/product/_samsung-laser-mono-%CF%80%CE%BF%CE%BB%CF%85%CE%BC%CE%B7%CF%87%CE%AC%CE%BD%CE%B7%CE%BC%CE%B1-sl-m2070-1129969.html
