product_name @ features @ price @ link
Παιδικό Smartwatch Kidizoom DX ΜπλεV TECH@@69,99@https://www.public.gr/product/wearables-gadgets/smartwatches/paidiko-smartwatch-kidizoom-dx-mple/prod8900370pp/
Παιδικό Smartwatch Kidizoom DX ΡοζV TECH@@69,99@https://www.public.gr/product/wearables-gadgets/smartwatches/paidiko-smartwatch-kidizoom-dx-roz/prod8900371pp/
Παιδικό Smartwatch Kidizoom DX ΜοβV TECH@@69,99@https://www.public.gr/product/wearables-gadgets/smartwatches/paidiko-smartwatch-kidizoom-dx-mob/prod8900369pp/
Smartwatch Xiaomi Amazfit BIP ΚόκκινοXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI@99,99@https://www.public.gr/product/wearables-gadgets/smartwatches/smartwatch-xiaomi-amazfit-bip-kokkino/prod8953853pp/
Smartwatch Xiaomi Amazfit BIP ΠράσινοXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI@99,99@https://www.public.gr/product/wearables-gadgets/smartwatches/smartwatch-xiaomi-amazfit-bip-prasino/prod8953854pp/
Smartwatch Xiaomi Amazfit BIP ΜαύροXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI@99,99@https://www.public.gr/product/wearables-gadgets/smartwatches/smartwatch-xiaomi-amazfit-bip-mayro/prod8953852pp/
Smartwatch Xiaomi Amazfit BIP ΛευκόXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI@99,99@https://www.public.gr/product/wearables-gadgets/smartwatches/smartwatch-xiaomi-amazfit-bip-leyko/prod8953855pp/
Smartwatch MyKronoz ZeWatch 4 ΧρυσόMYKRONOZ@Εγγύηση:  12 μήνες-Κατασκευαστής: MYKRONOZ@109,99@https://www.public.gr/product/wearables-gadgets/smartwatches/smartwatch-mykronoz-zewatch-4-hryso/prod8687989pp/
Smartwatch MyKronoz ZeWatch 4 HR Ασημί@Εγγύηση:  12 μήνες-Κατασκευαστής: MYKRONOZ@119,99@https://www.public.gr/product/wearables-gadgets/smartwatches/smartwatch-mykronoz-zewatch-4-hr-asimi/prod8320238pp/
Smartwatch Xiaomi Amazfit BIP Πράσινο & Ζυγαριά Xiaomi Mi ScaleXIAOMI@Εγγύηση:  24 μήνες-Κατασκευαστής: XIAOMI@129,89@https://www.public.gr/product/wearables-gadgets/smartwatches/smartwatch-xiaomi-amazfit-bip-prasino-and-zygaria-xiaomi-mi-scale/prod9490427pp/
Smartwatch Garmin Vivomove HR Sport ΛευκόGARMIN@Εγγύηση:  24 μήνες-Κατασκευαστής: GARMIN@169,99@https://www.public.gr/product/wearables-gadgets/smartwatches/smartwatch-garmin-vivomove-hr-sport-leyko/prod9091047pp/
